DDL_NAME|ENTITY_NAME|ELEMENT_NAME|BASE_OBJECT|BASE_FIELD|IS_CALCULATED
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTASSIGNMENT|ACDOCA|ACCAS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTASSIGNMENTNUMBER|ACDOCA|ZEKKN|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTASSIGNMENTTYPE|ACDOCA|ACCASTY|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTINGDOCCREATEDBYUSER|ACDOCA|USNAM|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTINGDOCUMENT|ACDOCA|BELNR|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTINGDOCUMENTCATEGORY|ACDOCA|BSTAT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTINGDOCUMENTITEM|ACDOCA|BUZEI|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTINGDOCUMENTTYPE|ACDOCA|BLART|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCOUNTINGNOTIFICATIONUUID|ACDOCA|ACCTG_NOTIF_UUID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALITEMTYPE|ACDOCA|ACRITMTYPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALOBJECT|ACDOCA|ACROBJ_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALOBJECTLOGICALSYSTEM|ACDOCA|ACRLOGSYS|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALOBJECTTYPE|ACDOCA|ACROBJTYPE|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALREFERENCEOBJECT|ACDOCA|ACRREFOBJ_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALSUBOBJECT|ACDOCA|ACRSOBJ_ID|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCRUALVALUEDATE|ACDOCA|ACRVALDAT|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ACCTGDOCTYPEAUTHORIZATIONGROUP|I_GLACCOUNTLINEITEM|ACCTGDOCTYPEAUTHORIZATIONGROUP|X
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ADDITIONALQUANTITY1|ACDOCA|QUANT1|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ADDITIONALQUANTITY1UNIT|ACDOCA|QUNIT1|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ADDITIONALQUANTITY2|ACDOCA|QUANT2|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ADDITIONALQUANTITY2UNIT|ACDOCA|QUNIT2|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ADDITIONALQUANTITY3|ACDOCA|QUANT3|
I_GLACCOUNTLINEITEM|I_GLACCOUNTLINEITEM|ADDITIONALQUANTITY3UNIT|ACDOCA|QUNIT3|
