Scenario,Workbook,Sheet,Col,TemplateField,Class,ClassMeaning,Target,Note
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,2,LIFNR,A,CL_MD_BP_MAINTAIN,VENDOR-HEADER-OBJECT_INSTANCE-LIFNR,key; blank on create
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,3,BUKRS,A,CL_MD_BP_MAINTAIN,VENDOR-COMPANY_DATA-COMPANY-DATA_KEY-BUKRS,org key
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,4,EKORG,A,CL_MD_BP_MAINTAIN,VENDOR-PURCHASING_DATA-PURCHASING-DATA_KEY-EKORG,org key
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,5,KTOKK,A,CL_MD_BP_MAINTAIN,VENDOR-CENTRAL_DATA-CENTRAL-DATA-KTOKK,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,6,TITLE_MEDI,A,CL_MD_BP_MAINTAIN,PARTNER-CENTRAL_DATA-COMMON-DATA-BP_CENTRALDATA-TITLE_KEY,"CONV: template holds text ""Company"", API needs TITLE key"
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,7,NAME1,A,CL_MD_BP_MAINTAIN,PARTNER-...-BP_ORGANIZATION-NAME1,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,8,NAME2,A,CL_MD_BP_MAINTAIN,PARTNER-...-BP_ORGANIZATION-NAME2,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,9,NAME3,A,CL_MD_BP_MAINTAIN,PARTNER-...-BP_ORGANIZATION-NAME3,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,10,NAME4,A,CL_MD_BP_MAINTAIN,PARTNER-...-BP_ORGANIZATION-NAME4,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,11,SORT1,A,CL_MD_BP_MAINTAIN,PARTNER-...-BP_CENTRALDATA-SEARCHTERM1,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,12,SORT2,A,CL_MD_BP_MAINTAIN,PARTNER-...-BP_CENTRALDATA-SEARCHTERM2,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,13,STR_SUPPL1,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-STR_SUPPL1,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,14,STR_SUPPL2,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-STR_SUPPL2,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,15,STREET,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-STREET,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,16,STR_SUPPL3,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-STR_SUPPL3,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,17,CITY2,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-DISTRICT,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,18,POST_CODE1,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-POSTL_COD1,
1 Vendor/BP Create,Vendor Creation Template_All CC_Sample.xlsx,Sheet1,19,CITY1,A,CL_MD_BP_MAINTAIN,ADDRESS-POSTAL-DATA-CITY,
