Table: YRVA_MSTR_WAIVER

	MANDT	BEGDA	ENDDA	MS_WAIVER1	MS_WAIVER2	MS_WAIVER3	MS_WAIVER4	MIN_PERC_M1	MIN_PERC_M2	MIN_PERC_M3	MIN_PERC_M4	MIN_PERC_M5	MIN_PERC_M6	MIN_PERC_M7	MIN_PERC_M8	MIN_PERC_M9	MIN_PERC_M10	MIN_PERC_M11	MIN_PERC_M12	MAX_PERC_M1	MAX_PERC_M2	MAX_PERC_M3	MAX_PERC_M4	MAX_PERC_M5	MAX_PERC_M6	MAX_PERC_M7	MAX_PERC_M8	MAX_PERC_M9	MAX_PERC_M10	MAX_PERC_M11	MAX_PERC_M12	MIN_PERC_Q1	MAX_PERC_Q1	MIN_PERC_Q2	MAX_PERC_Q2	MIN_PERC_Q3	MAX_PERC_Q3	MIN_PERC_Q4	MAX_PERC_Q4	ANNUAL_MIN	ANNUAL_MAX	REMARKS	RPD_M1	RPD_PERC_M1	RPD_M2	RPD_PERC_M2	RPD_RATE	PD_ROTO_MAX	PD_PERC_M1	PD_PERC_M2	PD_PERC_M3	PD_PERC_M4	PD_PERC_M5	PD_PERC_M6	PD_PERC_M7	PD_PERC_M8	PD_PERC_M9	PD_PERC_M10	PD_PERC_M11	PD_PERC_M12	PD_PERC_Q1	PD_PERC_Q2	PD_PERC_Q3	PD_PERC_Q4

	300	01.04.2013	31.03.2014	SEP	MAR			      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	       0.00	       0.00	       0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	       0.00	       0.00	       0.00	     80.00	    125.00	      0.01	    125.00	     80.00	    125.00	      0.01	    125.00	     0.01	   125.00			      0.00		      0.00	   0.00	      0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	      0.00	      0.00	      0.00	     0.00	     0.00	     0.00	     0.00
	300	01.04.2015	31.03.2016					      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	       0.00	       0.00	       0.00	      0.00	    125.00	      0.00	    125.00	     85.00	    125.00	     85.00	    125.00	    80.00	   125.00	Created by:0000058427.08.2015180629Changed by :00011005/04.12.2015/11:48:20		      0.00		      0.00	   0.00	      0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	      0.00	      0.00	      0.00	     0.00	     0.00	     0.00	     0.00
	300	01.04.2016	31.03.2017	NOV				     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      0.00	     80.00	      80.00	      80.00	      80.00	    125.00	    125.00	    125.00	    125.00	    125.00	      0.00	      0.00	      0.00	      0.00	       0.00	       0.00	       0.00	     85.00	    125.00	     85.00	      0.00	     85.00	      0.00	     85.00	      0.00	    95.00	   125.00	Created by:0001100528.06.2016171958Changed by :00011005/16.12.2016/12:34:19Changed by :00000584/17.1Changed by :00000584/03.04.2017/14:51:40	NOV	     80.00	DEC	     80.00	 300.00	      0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	      0.00	      0.00	      0.00	     0.00	     0.00	     0.00	     0.00
	300	01.04.2017	31.03.2018	JUN				     80.00	     80.00	      0.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	      0.00	    125.00	      0.00	      0.00	      0.00	      0.00	      0.00	    200.00	    225.00	     200.00	     125.00	     300.00	      0.00	    125.00	     85.00	      0.00	     85.00	      0.00	     85.00	      0.00	    90.00	   125.00	Created by:0000058414.07.2017155227Changed by :00000584/14.07.2017/15:56:33Changed by :00000584/08.0Changed by :00011005/21.04.2018/14:17:44		      0.00		      0.00	   0.00	    300.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	     0.00	      0.00	      0.00	      0.00	     0.00	     0.00	     0.00	     0.00
	300	01.04.2018	31.03.2019	JUL				     80.00	     80.00	     80.00	      0.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	    150.00	    150.00	    150.00	    150.00	    150.00	    150.00	    200.00	    200.00	    300.00	     300.00	       0.00	       0.00	      0.00	    130.00	     90.00	    130.00	     90.00	    250.00	     90.00	      0.00	    85.00	   125.00	Created by:0001100529.06.2018132435Changed by :00011005/31.07.2018/15:25:34Changed by :00011005/07.0Changed by :00011005/19.04.2019/16:41:01		      0.00		      0.00	   0.00	    200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   250.00	   250.00	   350.00	    350.00	      0.00	      0.00	   200.00	   200.00	   300.00	     0.00
	300	01.04.2019	31.03.2020	JUN	AUG			     80.00	     80.00	      0.00	     80.00	      0.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	    150.00	    150.00	    150.00	    150.00	      0.00	      0.00	    150.00	      0.00	    150.00	     150.00	     150.00	     150.00	      0.00	    150.00	     90.00	      0.00	     90.00	    150.00	     90.00	    150.00	    85.00	   125.00	Created by:0001100529.05.2019203651Changed by :00011005/12.07.2019/17:49:44Changed by :00011005/27.0Changed by :00016883/03.01.2020/09:56:39		      0.00		      0.00	   0.00	    200.00	   200.00	   200.00	   200.00	   200.00	     0.00	     0.00	   200.00	     0.00	   200.00	    200.00	    200.00	    200.00	   200.00	     0.00	   200.00	   200.00
	300	01.04.2020	31.03.2021					      0.00	      0.00	      0.00	      0.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	      0.00	      0.00	      0.00	      0.00	    150.00	      0.00	    150.00	    150.00	    150.00	     150.00	     150.00	     150.00	      0.00	      0.00	     90.00	      0.00	     90.00	    150.00	     90.00	    150.00	    85.00	   125.00	Created by:0001688309.09.2020175622Changed by :00016883/10.09.2020/10:57:47Changed by :00016883/10.0Changed by :00016883/12.10.2020/12:47:02		      0.00		      0.00	   0.00	    200.00	     0.00	     0.00	     0.00	     0.00	   200.00	     0.00	   200.00	   200.00	   200.00	    200.00	    200.00	    200.00	     0.00	     0.00	   200.00	   200.00
	300	01.04.2021	31.03.2022	APR	MAY			      0.00	      0.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	    150.00	    150.00	      0.00	    150.00	    150.00	    150.00	    150.00	    150.00	    150.00	     150.00	     150.00	     150.00	      0.00	    150.00	     90.00	    150.00	     90.00	    150.00	     90.00	    150.00	    85.00	   133.00	Created by:0001688328.06.2021161441Changed by :00016883/30.06.2021/10:18:46Changed by :00016883/30.0Changed by :00016883/16.07.2021/16:17:54		      0.00		      0.00	   0.00	    200.00	   200.00	   200.00	     0.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	    200.00	    200.00	    200.00	   200.00	   200.00	   200.00	   200.00
	300	01.04.2022	31.03.2023					     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	    150.00	    150.00	    150.00	    150.00	    150.00	    150.00	    150.00	    150.00	    150.00	     150.00	     150.00	       0.00	     90.00	    150.00	     90.00	    150.00	     90.00	    150.00	     90.00	  9,999.00	    85.00	   125.00	Created by:0001688304.08.2022170649Changed by :00016883/28.03.2023/10:19:39Changed by :00017436/06.0Changed by :00016883/06.04.2023/14:16:13		      0.00		      0.00	   0.00	    200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	    200.00	    200.00	      0.00	   200.00	   200.00	   200.00	     0.00
	300	01.04.2023	31.03.2024					     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	      0.00	      0.00	      0.00	    150.00	    150.00	    150.00	      0.00	      0.00	      0.00	       0.00	       0.00	       0.00	     90.00	      0.00	     90.00	    150.00	     90.00	  9,999.00	     90.00	  9,999.00	     0.00	     0.00	CREATED BY:0001688312.06.2023173313CHANGED BY :00016883/07.07.2023/10:06:25CHANGED BY :00016883/02.1Changed by :00016883/03.04.2024/17:13:55		      0.00		      0.00	   0.00	      0.00	     0.00	     0.00	     0.00	   200.00	   200.00	   200.00	     0.00	     0.00	     0.00	      0.00	      0.00	      0.00	     0.00	   200.00	 9,999.00	 9,999.00
	300	01.04.2024	31.03.2025					     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	      80.00	    125.00	    125.00	    125.00	    125.00	    130.00	    130.00	    150.00	    150.00	    135.00	     135.00	     135.00	     150.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	    85.00	   150.00	Created by:0001688329.05.2024161106Changed by :00016883/02.09.2024/15:54:13Changed by :00016883/02.0Changed by :00015407/10.04.2025/15:59:48		      0.00		      0.00	   0.00	    200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	    200.00	    200.00	    200.00	     0.00	     0.00	     0.00	     0.00
	300	01.04.2025	31.03.2026					     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	     80.00	      80.00	      80.00	       0.00	    125.00	    125.00	    125.00	    125.00	    125.00	    125.00	    125.00	    125.00	    130.00	     125.00	     125.00	     125.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	    85.00	   125.00	Created by:0001688314.05.2025104530Changed by :00016883/14.05.2025/10:46:02Changed by :00016883/01.0Changed by :00017311/13.04.2026/14:28:30		      0.00		      0.00	   0.00	    200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	    200.00	    200.00	    200.00	   200.00	   200.00	   200.00	   200.00
	300	01.04.2026	31.03.2027					      0.00	      0.00	     75.00	     75.00	     75.00	     75.00	     75.00	     75.00	     75.00	      75.00	      75.00	      75.00	      0.00	      0.00	    125.00	    125.00	    125.00	    125.00	    125.00	    125.00	    125.00	     125.00	     125.00	     125.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	      0.00	    80.00	   125.00	Created by:0001688319.08.2026145153		      0.00		      0.00	   0.00	    200.00	     0.00	     0.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	   200.00	    200.00	    200.00	    200.00	     0.00	     0.00	     0.00	     0.00
