
		Exclude		State Code	State	Location ID	Material	ONGC Material	Total, MBG	Total, Sm3	Total Sales, MBG	Alloc. - Sales, MBG	Wt. Avg. GCV	Wt. Avg. NCV	16.08.2026	17.08.2026	18.08.2026	19.08.2026	20.08.2026	21.08.2026	22.08.2026	23.08.2026	24.08.2026	25.08.2026	26.08.2026	27.08.2026	28.08.2026	29.08.2026	30.08.2026	31.08.2026

				AP	Andhra Pradesh	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				AS	Assam	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				AS	Assam	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				BH	Bihar	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				BH	Bihar	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				BH	Bihar	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				CHG	Chattisgarh	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				CHG	Chattisgarh	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				DEL	Delhi	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				DEL	Delhi	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				DEL	Delhi	HAZIRA_ONG	GMS_NG-Z	APM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				GDD	Goa	HAZIRA_ONG	GMS_NG-NAPM-WOS-Z	NAPM	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
				GDD	Goa	HAZIRA_ONG	GMS_NG-NWWI-Z	NWGAN	    0.000	    0.000	          0.000	             0.000	      0.000	      0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
