02.09.26 Dynamic List Display                                                  1

Table: T059U

	MANDT	SPRAS	LAND1	WITHT	TEXT40

	500	EN	IN	11	194A-Inv-Other Interest(Corp)
	500	EN	IN	12	194A-Inv-Other Interest(Non-Corp)
	500	EN	IN	13	194A-Adv-Other Interest(Corp)
	500	EN	IN	14	194A-Adv-Other Interest(Non-Corp)
	500	EN	IN	15	195-Inv-Non Residents(Corp)-Sec 44BB
	500	EN	IN	16	195-Inv-Non Residents(Non-Corp)-Sec 44BB
	500	EN	IN	17	195-Adv-Non Residents(Corp)-Sec 44BB
	500	EN	IN	18	195-Adv-Non Resident(Non-Corp)-Sec 44 BB
	500	EN	IN	19	195-Adv-Non Residents(Non-Corp)-Sec 44D
	500	EN	IN	1A	194A-Inv-Other Interest(Corp)-EDU CESS
	500	EN	IN	1B	195-Inv-Non Res(Corp)-Sec 44BB-EDU CESS
	500	EN	IN	1C	194C-Inv-Contractors(Corp)-EDU CESS
	500	EN	IN	1D	195-Inv-Non Res(Corp)-Sec 44D-EDU CESS
	500	EN	IN	1H	194H-Inv-Commn / Brokerage (Corp)-E CESS
	500	EN	IN	1I	194I-Inv-Rent(Corp) - EDU CESS
	500	EN	IN	1J	194J-Inv-Professionals(Corp) - EDU CESS
	500	EN	IN	20	194C-Inv-Advtg Contractors(Corp)
	500	EN	IN	21	194C-Inv-Contractors(Non-Corp)
	500	EN	IN	22	194C-Inv-Advtg Contractors(Non-Corp)
	500	EN	IN	23	194C-Adv-Contractors(Corp)
	500	EN	IN	24	194C-Adv-Advtg Contract(Corp)
	500	EN	IN	25	194C-Adv-Contractors(Non-Corp)
	500	EN	IN	26	194C-Adv-Advtg Contract(Non-Corp)
	500	EN	IN	27	195-Inv-Non Residents(Corp)-Sec 44D
	500	EN	IN	28	195-Inv-Non Residents(Non-Corp)-Sec 44D
	500	EN	IN	29	195-Adv-Non Residents(Corp)-Sec 44D
	500	EN	IN	2A	194A-Inv-Other Int(Non-Corp)-EDU CESS
	500	EN	IN	2B	195-Inv-Non Res(Non-Corp)-Sec44BB-E CESS
	500	EN	IN	2C	194C-Inv-Sub Contractors(Corp)-EDU CESS
	500	EN	IN	2D	195-Inv-Non Res(Non-Corp)-Sec 44D-E CESS
	500	EN	IN	2H	194H-Inv-Comn / Broker(Non-Corp)EDU CESS
	500	EN	IN	2I	194I-Inv-Rent(Non-Corp) -  EDU CESS
	500	EN	IN	2J	194J-Inv-Professionals(Non-Corp)- EDU CE
	500	EN	IN	30	194C-Inv-Contractors(Corp)
	500	EN	IN	31	194H-Inv-Commn / Brokerage (Corp)
	500	EN	IN	32	194H-Inv-Commn / Brokerage (Non-Corp)
	500	EN	IN	33	194H-Adv-Commn / Brokerage (Corp)
	500	EN	IN	34	194H-Adv-Commn / Brokerage (Non-Corp)
	500	EN	IN	35	194I-Inv-Rent(Corp)
	500	EN	IN	36	194I-Inv-Rent(Non-Corp)
	500	EN	IN	37	194I-Adv-Rent(Corp)
	500	EN	IN	38	194I-Adv-Rent(Non-Corp)
	500	EN	IN	39	194J-Inv-Professionals(Corp)
	500	EN	IN	3C	194C-Inv-Advtg Contractors(Corp)-EDU CES
	500	EN	IN	40	194J-Inv-Professionals(Non-Corp)
	500	EN	IN	41	194J-Adv-Professionals(Corp)
	500	EN	IN	42	194J-Adv-Professionals(Non-Corp)
	500	EN	IN	43	Service Tax
	500	EN	IN	44	194E-Inv-Non Residents(Non-Corp)sports
	500	EN	IN	45	194E-Adv-Non Resident(Non-Corp)-sports
	500	EN	IN	46	Buiding Workers Cess
	500	EN	IN	47	Compensation on acquisition
	500	EN	IN	48	19EAdv-Non Residents(Non-corp)
