02.09.2026                                                                                                                                                                Dynamic List Display                                                                                                                                                                                                                         1

Table: T059P

	MANDT	LAND1	WITHT	WT_TPNR	WT_ACCPT	WT_ACCALL	WT_ACCTMAX	WT_WTRD	WT_CEINV	WT_BASE	WT_DOPOST	WT_POSTM	WT_ALWT	WT_WTDSC	WT_SLFWT	WT_WTDP	WT_MANUAL	WT_MAINTB	WT_MAINTA	WT_REDBAS	WT_WTINV	REGIO	TDFORM	WT_BCPLVL	WT_CTNBRL	WT_MANBAS	KSCHL	J_1BSUMVAL	J_1BTEXKEY	WT_KURST	WT_INHERITBASE	WT_NOREDUCTION	J_1AFORMAT	KSCHL_TX	J_1BWHTBASE_NF	ALL_TAX_CODES	J_DAILY_ACC	TEXT40

	500	AR	CO	    000	0			00	1	1	X	2	X			    000	X	2	2					0		X												SS Withholding tax: Contractors
	500	AR	EE	    000	0			00	1	1	X	2				    000		2	2					0														SS Withholding tax: Possible employees
	500	AR	G1	    000	3			00	1	1	X	2			X	    000	X	2	1					0		X												Withholding tax for earning tax RNI
	500	AR	GA	    000	3			00	1	1	X	2			X	    000	X	2	1					0		X												Withholding tax for earning tax RI
	500	AR	I1	    000	0			00	1	1	X	2				    000		1	2					0														GI withholding tax: Region 1
	500	AR	I2	    000	0			00	1	1	X	2				    000		1	1					0														GI Withholding tax: Region 2
	500	AR	I3	    000	0			00	1	1	X	2				    000		1	1					0														GI Withholding tax: Region 3
	500	AR	IB	    000	0			00	2	1	X	2				    000		2	2					0														Gross income
	500	AR	IV	    000	0			00	2	5	X	2				    000	X	1	1					0		X												VAT withholding tax
	500	BR	IC	    001	3			00		4	X	1				    000		2	2						X				WT01									IRRF for natural persons (CPF)
	500	BR	IF	    002	0			00		2	X	1				    000		2	2						X			X	WT04									Funrural
	500	BR	IP	    003	0			00		1	X	1				    000	X	2	2						X	X		X	WT05									FCPS
	500	BR	IR	    004	0			00		2	X	1				    000		2	2						X				WT02									IRRF for companies
	500	BR	IS	    005	0			00		2	X	1				    000		2	2						X				WT03									ISSF
	500	CL	Q1	    001	0			00		1	X	1				    000	X	2	2						X	X												Global complementary tax
	500	CL	Q2	    002	0			00		1	X	1				    000	X	2	2						X	X												Additional tax
	500	CL	Q3	    003	0			00		3	X	1				    000	X	2	2						X	X												Value-added tax
	500	CO	01	    001	0			00		1	X	1				    000		2	2				F_RFKQST20_CO_01		X													Withholding income tax - residents
	500	CO	02	    002	0			00		1	X	1				    000		2	2				F_RFKQST20_CO_01		X													Withholding income tax - non-residents
	500	CO	03	    003	0			00		1	X	1				    000	X	2	2	X					X	X												Stamp withholding tax
	500	CO	04	    007	0			00		1	X	1				    000		2	2						X	X												Withholding income tax dividends
	500	CO	05	    009	0			00		1	X	1				    001		2	2	X					X													Remittance (depending on income w/h tax)
	500	CO	06	    010	0			00		1	X	1				    000		2	2						X													ICA withholding tax for goods/services
	500	CO	07	    013	0			00		3	X	1				    000		2	2						X													WT  VAT goods/services
	500	CO	10	    000	0			00	0	1	X	2				    000		2	2					0	X													Samples for withholding on payment momen
	500	CO	AT	    005	0			00		1	X	1				    000		2	2						X													Self-withholding
	500	CO	S1	    004	0			00		1	X	1				    000		2	2						X													Income tax withheld by customer
	500	CO	S2	    011	0			00		3	X	1				    000		2	2						X													VAT withheld by customer
	500	CO	S3	    012	0			00		1	X	1				    000		2	2						X													ICA tax withheld by customer
	500	GB	04	    000	0			00	0	1	X	2				    000		2	2		X			0	X	X												CIS 4 Registration Card
	500	GB	05	    000	0			00	0	1	X	2				    000		2	2		X			0	X	X												CIS 5 Construction Tax Certificate
	500	GB	06	    000	0			00	0	1	X	2				    000		2	2		X			0	X	X												CIS 6 Subcontractors Tax Certificate
	500	GB	99	    000	0			00	0	1	X	2				    000		2	2		X			0	X	X												net with manual base amt
	500	IN	11	    095	0			00		2	X	1				    000		2	2						X	X												194A-Inv-Other Interest(Corp)
	500	IN	12	    096	0			00		2	X	1				    000		2	2						X	X												194A-Inv-Other Interest(Non-Corp)
	500	IN	13	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194A-Adv-Other Interest(Corp)
	500	IN	14	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X												194A-Adv-Other Interest(Non-Corp)
	500	IN	15	    097	0			00		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Corp)-Sec 44BB
	500	IN	16	    098	0			00		2	X	1				    000		2	2						X	X				TTB								195-Inv-Non Residents(Non-Corp)-Sec 44BB
	500	IN	17	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Residents(Corp)-Sec 44BB
	500	IN	18	    099	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Resident(Non-Corp)-Sec 44 BB
	500	IN	19	    000	0			00	1	2	X	2		X		    000		2	2					0	X	X				TTB								195-Adv-Non Residents(Non-Corp)-Sec 44D
	500	IN	1A	    052	0			00		2	X	1				    009		2	2						X	X					X							194A-Inv-Other Interest(Corp)-EDU CESS
