01.09.26 Dynamic List Display                                                     1

Table: IDOCSYN

	IDOCTYP	  NR	SEGTYP	PARSEG	PARPNO	PARFLG	MUSTFL	    OCCMIN	    OCCMAX	HLEVEL

	PEXR2002	0001	E1IDKU1		  0000		X	0000000001	0000000001	    01
	PEXR2002	0002	E1EDK03		  0000			0000000001	0000000003	    02
	PEXR2002	0003	E1EDK02		  0000			0000000001	0000000001	    01
	PEXR2002	0004	E1EDK12		  0000			0000000001	0000000099	    02
	PEXR2002	0005	E1IDKU2		  0000			0000000001	0000000001	    01
	PEXR2002	0006	E1IDT01		  0000			0000000001	0000000001	    01
	PEXR2002	0007	E1IDKU3		  0000			0000000001	0000000001	    01
	PEXR2002	0008	E1IDKU4		  0000			0000000001	0000000001	    01
	PEXR2002	0009	E1IDKU5		  0000	X	X	0000000001	0000000001	    01
	PEXR2002	0010	E1EDL03	E1IDKU5	  0009			0000000001	0000000001	    02
	PEXR2002	0011	E1EDL02	E1IDKU5	  0009			0000000001	0000000001	    02
	PEXR2002	0012	E1IDB02		  0000			0000000001	0000000004	    02
	PEXR2002	0013	E1IDBL2		  0000			0000000001	0000000010	    02
	PEXR2002	0014	E1EDKA1		  0000			0000000001	0000000004	    02
	PEXR2002	0015	E1IDBW1		  0000	X		0000000001	0000000004	    02
	PEXR2002	0016	E1EDM03	E1IDBW1	  0015			0000000001	0000000002	    03
	PEXR2002	0017	E1IDPU1		  0000	X		0000000001	0000200000	    02
	PEXR2002	0018	E1IDPU5	E1IDPU1	  0017	X		0000000001	0000000010	    03
	PEXR2002	0019	E1EDU03	E1IDPU5	  0018			0000000001	0000000001	    04
	PEXR2002	0020	E1EDPA1	E1IDPU1	  0017			0000000001	0000000010	    03
	PEXR2002	0021	E1EDK14	E1IDPU1	  0017			0000000001	0000000010	    03
	PEXR2002	0022	E1EDP03	E1IDPU1	  0017			0000000001	0000000004	    03
	PEXR2002	0023	E1EDP02	E1IDPU1	  0017			0000000001	0000000004	    03
	PEXR2002	0024	E1IDPU2	E1IDPU1	  0017			0000000001	0000000100	    03
	PEXR2002	0025	E1IDPU3	E1IDPU1	  0017	X		0000000001	0000200000	    03
	PEXR2002	0026	E1IDUU5	E1IDPU3	  0025	X		0000000001	0000000002	    04
	PEXR2002	0027	E1EDV03	E1IDUU5	  0026			0000000001	0000000001	    05
	PEXR2002	0028	E1IDUU4	E1IDPU3	  0025			0000000001	0000000005	    04
	PEXR2002	0029	E1EDW03	E1IDPU3	  0025			0000000001	0000000005	    04
	PEXR2002	0030	E1IDUU2	E1IDPU3	  0025			0000000001	0000000010	    04
	PEXR2002	0031	E1IDLU5		  0000		X	0000000001	0000000010	    02
	PEXR2002	0032	E1IDKU6		  0000	X		0000000001	0000000001	    01
	PEXR2002	0033	E1EDLA1	E1IDKU6	  0032			0000000001	0000000001	    02
	PEXR2002	0034	E1IDMU5	E1IDKU6	  0032			0000000001	0000000001	    02
	PEXR2002	0035	E1IDT02	E1IDKU6	  0032			0000000001	0000000100	    02
	PEXR2002	0036	E1IDKU7		  0000			0000000001	0000000001	    01
