01.09.2026                     Dynamic List Display                                                                               1

Table: ZFI_BK_PAYEXT

	MANDT	BUKRS	ZLSCH	PARNUM	SEGNAM	SEGFLD	QUALIFI	TABNAME	FIELDNAME	FIELDVALUE		QUAL_FIELDNAME	QUAL_FIELDVALUE

	500	MUM		F110	HB_21	HB021
	500	MUM		F110	HB_25	HB025
	500	MUM	D	HDFC	E1EDKA1	NAME1	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	D	HDFC	E1EDKA1	NAME2	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	D	HDFC	E1EDKA1	NAME3	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	D	HDFC	E1EDKA1	STRAS	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	D	HDFC	E1EDP02	BELNR	X			`~!@#$%^&*_={}[]\	;:"<>'	QUALF	009
	500	MUM	D	HDFC	E1IDB02	FIIBKENN	2	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTDESC	BANK TRANSFER
	500	MUM	D	HDFC	E1IDB02	FIIBKENN	X	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTPAYM	T
	500	MUM	D	HDFC	E1IDB02	FIIBKONT				CA		FIIBKONT	11
	500	MUM	D	HDFC	E1IDB02	FIIBKONT	1			CC		FIIBKONT	13
	500	MUM	D	HDFC	E1IDB02	FIIBKONT	2			SB		FIIBKONT	12
	500	MUM	D	HDFC	E1IDB02	FIIBKONT	3			SA		FIIBKONT	10
	500	MUM	D	HDFC	E1IDB02	FIIBKONT	4					FIIBKONT	10
	500	MUM	D	HDFC	E1IDB02	FIIBRANCH	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	D	HDFC	E1IDB02	FIIKNAM2	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	D	HDFC	E1IDB02	FIIKNAME	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	D	HDFC	E1IDKU3	PAIUZAWE				AS		INSCODE3	DEL
	500	MUM	D	HDFC	REGUH	HKBID		HB025		HB025		INSCODE3	DEL
	500	MUM	M	HDFC	E1EDKA1	NAME1	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	M	HDFC	E1EDKA1	NAME2	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	M	HDFC	E1EDKA1	NAME3	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	M	HDFC	E1EDKA1	STRAS	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	M	HDFC	E1EDP02	BELNR	X			`~!@#$%^&*_={}[]\	;:"<>'	QUALF	009
	500	MUM	M	HDFC	E1IDB02	FIIBKENN	2	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTDESC	BANK TRANSFER
	500	MUM	M	HDFC	E1IDB02	FIIBKENN	X	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTPAYM	T
	500	MUM	M	HDFC	E1IDB02	FIIBKONT				CA		FIIBKONT	11
	500	MUM	M	HDFC	E1IDB02	FIIBKONT	1			CC		FIIBKONT	13
	500	MUM	M	HDFC	E1IDB02	FIIBKONT	2			SB		FIIBKONT	12
	500	MUM	M	HDFC	E1IDB02	FIIBKONT	3			SA		FIIBKONT	10
	500	MUM	M	HDFC	E1IDB02	FIIBKONT	4					FIIBKONT	10
	500	MUM	M	HDFC	E1IDB02	FIIBRANCH	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	M	HDFC	E1IDB02	FIIKNAM2	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	M	HDFC	E1IDB02	FIIKNAME	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	M	HDFC	E1IDKU3	PAIUZAWE				AS		INSCODE3	DEL
	500	MUM	M	HDFC	REGUH	HKBID		HB025		HB025		INSCODE3	DEL
	500	MUM	N	HDFC	E1EDKA1	NAME1	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	HDFC	E1EDKA1	NAME2	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	HDFC	E1EDKA1	NAME3	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	HDFC	E1EDKA1	STRAS	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	HDFC	E1EDP02	BELNR	X			`~!@#$%^&*_={}[]\	;:"<>'	QUALF	009
	500	MUM	N	HDFC	E1IDB02	FIIBKENN	2	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTDESC	BANK TRANSFER
	500	MUM	N	HDFC	E1IDB02	FIIBKENN	X	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTPAYM	T
	500	MUM	N	HDFC	E1IDB02	FIIBKONT				CA		FIIBKONT	11
	500	MUM	N	HDFC	E1IDB02	FIIBKONT	1			CC		FIIBKONT	13
	500	MUM	N	HDFC	E1IDB02	FIIBKONT	2			SB		FIIBKONT	12
	500	MUM	N	HDFC	E1IDB02	FIIBKONT	3			SA		FIIBKONT	10
	500	MUM	N	HDFC	E1IDB02	FIIBKONT	4					FIIBKONT	10
	500	MUM	N	HDFC	E1IDB02	FIIBRANCH	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	N	HDFC	E1IDB02	FIIKNAM2	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	N	HDFC	E1IDB02	FIIKNAME	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	N	HDFC	E1IDKU3	PAIUZAWE				AS		INSCODE3	DEL
	500	MUM	N	HDFC	E1IDKU5	MOABETR	=	200000		E1IDKU3		EXTDESC	RTGS
	500	MUM	N	HDFC	E1IDKU5	MOABETR	>	200000		E1IDKU3		EXTPAYM	R
	500	MUM	N	HDFC	REGUH	HKBID		HB025		HB025		INSCODE3	DEL
	500	MUM	N	HDFC	UZEIT	UZEIT	>	231000		E1IDKU3		EXTPAYM	N
	500	MUM	N	M1	E1EDKA1	NAME1	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	M1	E1EDKA1	NAME2	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	M1	E1EDKA1	NAME3	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	M1	E1EDKA1	STRAS	X			`~!@#$%^&*_={}[]\	;:"<>	PARVW	BE
	500	MUM	N	M1	E1EDP02	BELNR	X			`~!@#$%^&*_={}[]\	;:"<>'	QUALF	009
	500	MUM	N	M1	E1IDB02	FIIBKENN	2	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTDESC	BANK TRANSFER
	500	MUM	N	M1	E1IDB02	FIIBKENN	X	E1IDB02 BA	FIIBKENN	E1IDKU3		EXTPAYM	T
	500	MUM	N	M1	E1IDB02	FIIBKONT				CA		FIIBKONT	11
	500	MUM	N	M1	E1IDB02	FIIBKONT	1			CC		FIIBKONT	13
	500	MUM	N	M1	E1IDB02	FIIBKONT	2			SB		FIIBKONT	12
	500	MUM	N	M1	E1IDB02	FIIBKONT	3			SA		FIIBKONT	10
	500	MUM	N	M1	E1IDB02	FIIBKONT	4					FIIBKONT	10
	500	MUM	N	M1	E1IDB02	FIIBRANCH	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	N	M1	E1IDB02	FIIKNAM2	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	N	M1	E1IDB02	FIIKNAME	X			`~!@#$%^&*_={}[]\	;:"<>	FIIQUALI	BB
	500	MUM	N	M1	E1IDKU3	PAIUZAWE				AS		INSCODE3	DEL
	500	MUM	N	M1	REGUH	HKBID		HB025		HB025		INSCODE3	DEL
